Time,EncoderPosition,TargetCounts
5.82,0,0
5.82,0,0
5.82,0,0
5.82,0,0
5.82,0,0
5.82,0,0
5.82,0,0
5.82,0,0
5.82,0,0
5.83,0,0
5.83,0,0
5.83,0,0
5.83,0,0
5.83,0,0
5.83,0,0
5.83,0,0
5.83,0,0
5.84,0,0
5.84,0,0
5.84,0,0
5.84,0,0
5.84,0,0
5.84,0,0
5.85,0,0
5.85,0,0
5.85,0,0
5.85,0,0
5.85,0,0
5.86,0,0
5.86,0,0
5.86,0,0
5.86,0,0
5.86,0,0
5.86,0,0
5.87,0,0
5.87,0,0
5.87,0,0
5.87,0,0
5.87,0,0
5.87,0,0
5.88,0,0
5.88,0,0
5.88,0,0
5.88,0,0
5.88,0,0
5.88,0,0
5.89,0,0
5.89,0,0
5.89,0,0
5.89,0,0
5.89,0,0
5.89,0,0
5.9,0,0
5.9,0,0
5.9,0,0
5.9,0,0
5.9,0,0
5.9,0,0
5.91,0,0
5.91,0,0
5.91,0,0
5.91,0,0
5.91,0,0
5.91,0,0
5.92,0,0
5.92,0,0
5.92,0,0
5.92,0,0
5.92,0,0
5.92,0,0
5.93,0,0
5.93,0,0
5.93,0,0
5.93,0,0
5.93,0,0
5.94,0,0
5.94,0,0
5.94,0,0
5.94,0,0
5.94,0,0
5.94,0,0
5.95,0,0
5.95,0,0
5.95,0,0
5.95,0,0
5.95,0,0
5.95,0,0
5.96,0,0
5.96,0,0
5.96,0,0
5.96,0,0
5.96,0,0
5.96,0,0
5.97,0,0
5.97,0,0
5.97,0,0
5.97,0,0
5.97,0,0
5.97,0,0
5.98,0,0
5.98,0,0
5.98,0,0
5.98,0,0
5.98,0,0
5.98,0,0
5.99,0,0
5.99,0,0
5.99,0,0
5.99,0,0
5.99,0,0
5.99,0,0
6.0,0,0
6.0,0,0
6.0,0,0
6.0,0,0
6.0,0,0
6.0,0,0
6.01,0,0
6.01,0,0
6.01,0,0
6.01,0,0
6.01,0,0
6.01,0,0
6.02,0,0
6.02,0,0
6.02,0,0
6.02,0,0
6.02,0,0
6.03,0,0
6.03,0,0
6.03,0,0
6.03,0,0
6.03,0,0
6.03,0,0
6.04,0,0
6.04,0,0
6.04,0,0
6.04,0,0
6.04,0,0
6.04,0,0
6.05,0,0
6.05,0,0
6.05,0,0
6.05,0,0
6.05,0,0
6.05,0,0
6.06,0,0
6.06,0,0
6.06,0,0
6.06,0,0
6.06,0,0
6.06,0,0
6.07,0,0
6.07,0,0
6.07,0,0
6.07,0,0
6.07,0,0
6.07,0,0
6.08,0,0
6.08,0,0
6.08,0,0
6.08,0,0
6.08,0,0
6.08,0,0
6.09,0,0
6.09,0,0
6.09,0,0
6.09,0,0
6.09,0,0
6.09,0,0
6.1,0,0
6.1,0,0
6.1,0,0
6.1,0,0
6.1,0,0
6.11,0,0
6.11,0,0
6.11,0,0
6.11,0,0
6.11,0,0
6.11,0,0
6.12,0,0
6.12,0,0
6.12,0,0
6.12,0,0
6.12,0,0
6.12,0,0
6.13,0,0
6.13,0,0
6.13,0,0
6.13,0,0
6.13,0,0
6.13,0,0
6.14,0,0
6.14,0,0
6.14,0,0
6.14,0,0
6.14,0,0
6.14,0,0
6.15,0,0
6.15,0,0
6.15,0,0
6.15,0,0
6.15,0,0
6.15,0,0
6.16,0,0
6.16,0,0
6.16,0,0
6.16,0,0
6.16,0,0
6.16,0,0
6.17,0,0
6.17,0,0
6.17,0,0
6.17,0,0
6.17,0,0
6.17,0,0
6.18,0,0
6.18,0,0
6.18,0,0
6.18,0,0
6.18,0,0
6.18,0,0
6.19,0,0
6.19,0,0
6.19,0,0
6.19,0,0
6.19,0,0
6.2,0,0
6.2,0,0
6.2,0,0
6.2,0,0
6.2,0,0
6.2,0,0
6.21,0,0
6.21,0,0
6.21,0,0
6.21,0,0
6.21,0,0
6.21,0,0
6.22,0,0
6.22,0,0
6.22,0,0
6.22,0,0
6.22,0,0
6.22,0,0
6.23,0,0
6.23,0,0
6.23,0,0
6.23,0,0
6.23,0,0
6.23,0,0
6.24,0,0
6.24,0,0
6.24,0,0
6.24,0,0
6.24,0,0
6.24,0,0
6.25,0,0
6.25,0,0
6.25,0,0
6.25,0,0
6.25,0,0
6.25,0,0
6.26,0,0
6.26,0,0
6.26,0,0
6.26,0,0
6.26,0,0
6.26,0,0
6.27,0,0
6.27,0,0
6.27,0,0
6.27,0,0
6.27,0,0
6.28,0,0
6.28,0,0
6.28,0,0
6.28,0,0
6.28,0,0
6.28,0,0
6.29,0,0
6.29,0,0
6.29,0,0
6.29,0,0
6.29,0,0
6.29,0,0
6.3,0,0
6.3,0,0
6.3,0,0
6.3,0,0
6.3,0,0
6.3,0,0
6.31,0,0
6.31,0,0
6.31,0,0
6.31,0,0
6.31,0,0
6.31,0,0
6.32,0,0
6.32,0,0
6.32,0,0
6.32,0,0
6.32,0,0
6.32,0,0
6.33,0,0
6.33,0,0
6.33,0,0
6.33,0,0
6.33,0,0
6.33,0,0
6.34,0,0
6.34,0,0
6.34,0,0
6.34,0,0
6.34,0,0
6.34,0,0
6.35,0,0
6.35,0,0
6.35,0,0
6.35,0,0
6.35,0,0
6.35,0,0
6.36,0,0
6.36,0,0
6.36,0,0
6.36,0,0
6.36,0,0
6.37,0,0
6.37,0,0
6.37,0,0
6.37,0,0
6.37,0,0
6.37,0,0
6.38,0,0
6.38,0,0
6.38,0,0
6.38,0,0
6.38,0,0
6.38,0,0
6.39,0,0
6.39,0,0
6.39,0,0
6.39,0,0
6.39,0,0
6.39,0,0
6.4,0,0
6.4,0,0
6.4,0,0
6.4,0,0
6.4,0,0
6.4,0,0
6.41,0,0
6.41,0,0
6.41,0,0
6.41,0,0
6.41,0,0
6.41,0,0
6.42,0,0
6.42,0,0
6.42,0,0
6.42,0,0
6.42,0,0
6.42,0,0
6.43,0,0
6.43,0,0
6.43,0,0
6.43,0,0
6.43,0,0
6.43,0,0
6.44,0,0
6.44,0,0
6.44,0,0
6.44,0,0
6.44,0,0
6.45,0,0
6.45,0,0
6.45,0,0
6.45,0,0
6.45,0,0
6.45,0,0
6.46,0,0
6.46,0,0
6.46,0,0
6.46,0,0
6.46,0,0
6.46,0,0
6.47,0,0
6.47,0,0
6.47,0,0
6.47,0,0
6.47,0,0
6.47,0,0
6.48,0,0
6.48,0,0
6.48,0,0
6.48,0,0
6.48,0,0
6.48,0,0
6.49,0,0
6.49,0,0
6.49,0,0
6.49,0,0
6.49,0,0
6.49,0,0
6.5,0,0
6.5,0,0
6.5,0,0
6.5,0,0
6.5,0,0
6.5,0,0
6.51,0,0
6.51,0,0
6.51,0,0
6.51,0,0
6.51,0,0
6.51,0,0
6.52,0,0
6.52,0,0
6.52,0,0
6.52,0,0
6.52,0,0
6.53,0,0
6.53,0,0
6.53,0,0
6.53,0,0
6.53,0,0
6.53,0,0
6.54,0,0
6.54,0,0
6.54,0,0
6.54,0,0
6.54,0,0
6.54,0,0
6.55,0,0
6.55,0,0
6.55,0,0
6.55,0,0
6.55,0,0
6.55,0,0
6.56,0,0
6.56,0,0
6.56,0,0
6.56,0,0
6.56,0,0
6.56,0,0
6.57,0,0
6.57,0,0
6.57,0,0
6.57,0,0
6.57,0,0
6.57,0,0
6.58,0,0
6.58,0,0
6.58,0,0
6.58,0,0
6.58,0,0
6.58,0,0
6.59,0,0
6.59,0,0
6.59,0,0
6.59,0,0
6.59,0,0
6.59,0,0
6.6,0,0
6.6,0,0
6.6,0,0
6.6,0,0
6.6,0,0
6.6,0,0
6.61,0,0
6.61,0,0
6.61,0,0
6.61,0,0
6.61,0,0
6.62,0,0
6.62,0,0
6.62,0,0
6.62,0,0
6.62,0,0
6.62,0,0
6.63,0,0
6.63,0,0
6.63,0,0
6.63,0,0
6.63,0,0
6.63,0,0
6.64,0,0
6.64,0,0
6.64,0,0
6.64,0,0
6.64,0,0
6.64,0,0
6.65,0,0
6.65,0,0
6.65,0,0
6.65,0,0
6.65,0,0
6.65,0,0
6.66,0,0
6.66,0,0
6.66,0,0
6.66,0,0
